attempt_id,account_id,borrower_id,event_at,call_id,agent_id,attempt_no,vendor_id,attempt_status,dpd,risk_segment,contact_date,contact_hour,contact_dow
,ACC0020762,BRW0007060,2026-06-29 02:04:02,CALL0029842,AGT0000839,1970-01-01 00:00:00.000000005,VND0000014,,120,HIGH,2026-06-29,2,Monday
,ACC0017537,BRW0006829,2026-05-31 15:32:04,CALL0067399,AGT0000056,1970-01-01 00:00:00.000000007,VND0000001,,75,LOW,2026-05-31,15,Sunday
,ACC0022758,BRW0003765,2026-04-30 12:19:20,CALL0071914,AGT0000949,1970-01-01 00:00:00.000000007,VND0000007,,45,NPA,2026-04-30,12,Thursday
,ACC0000123,BRW0003434,2026-01-01 19:48:57,CALL0082818,AGT0000680,1970-01-01 00:00:00.000000005,VND0000001,,1,MEDIUM,2026-01-01,19,Thursday
,ACC0020094,BRW0008723,2026-06-03 22:24:50,CALL0057656,AGT0000213,1970-01-01 00:00:00.000000005,VND0000003,,5,HIGH,2026-06-03,22,Wednesday
,ACC0021139,BRW0005453,2026-05-18 13:33:27,CALL0057383,AGT0000948,1970-01-01 00:00:00.000000006,VND0000015,,30,NPA,2026-05-18,13,Monday
,ACC0020025,BRW0006245,2026-07-29 15:45:29,CALL0003958,AGT0000979,1970-01-01 00:00:00.000000003,VND0000009,,45,MEDIUM,2026-07-29,15,Wednesday
,ACC0000427,BRW0002905,2026-07-16 23:12:06,CALL0073834,AGT0000064,1970-01-01 00:00:00.000000005,VND0000012,,75,MEDIUM,2026-07-16,23,Thursday
,ACC0019357,BRW0009986,2026-07-15 06:39:09,CALL0040688,AGT0000949,1970-01-01 00:00:00.000000005,VND0000008,,1,HIGH,2026-07-15,6,Wednesday
,ACC0015613,BRW0005212,2026-03-13 11:43:23,CALL0040085,AGT0000656,1970-01-01 00:00:00.000000004,VND0000002,,120,NPA,2026-03-13,11,Friday
,ACC0029997,BRW0005999,2026-05-03 13:55:13,CALL0082035,AGT0000290,1970-01-01 00:00:00.000000001,VND0000004,,30,NPA,2026-05-03,13,Sunday
,ACC0007422,BRW0010035,2026-08-05 08:12:40,CALL0021135,AGT0000965,1970-01-01 00:00:00.000000003,VND0000012,,15,NPA,2026-08-05,8,Wednesday
,ACC0025111,BRW0005088,2026-05-01 15:16:23,CALL0075886,AGT0000242,1970-01-01 00:00:00.000000005,VND0000003,,180,LOW,2026-05-01,15,Friday
,ACC0001902,BRW0001270,2026-08-03 13:59:53,CALL0003081,AGT0000705,1970-01-01 00:00:00.000000002,VND0000014,,120,HIGH,2026-08-03,13,Monday
,ACC0013603,BRW0005942,2026-07-18 15:34:00,CALL0059425,AGT0000761,1970-01-01 00:00:00.000000007,VND0000011,,180,HIGH,2026-07-18,15,Saturday
,ACC0005866,BRW0006093,2026-06-11 16:35:19,CALL0053165,AGT0000540,1970-01-01 00:00:00.000000004,VND0000011,,120,MEDIUM,2026-06-11,16,Thursday
,ACC0008340,BRW0007858,2026-03-13 01:51:15,CALL0076186,AGT0000925,1970-01-01 00:00:00.000000007,VND0000013,,5,MEDIUM,2026-03-13,1,Friday
,ACC0002477,BRW0003062,2026-05-08 23:22:24,CALL0038332,AGT0000091,1970-01-01 00:00:00.000000005,VND0000014,,30,HIGH,2026-05-08,23,Friday
,ACC0010726,BRW0008458,2026-05-20 17:45:08,CALL0084023,AGT0000037,1970-01-01 00:00:00.000000003,VND0000001,,0,NPA,2026-05-20,17,Wednesday
,ACC0025547,BRW0011930,2026-02-18 21:32:39,CALL0029428,AGT0000742,1970-01-01 00:00:00.000000004,VND0000001,,75,HIGH,2026-02-18,21,Wednesday
,ACC0019478,BRW0007706,2026-07-05 14:24:14,CALL0068984,AGT0000254,1970-01-01 00:00:00.000000003,VND0000006,,0,LOW,2026-07-05,14,Sunday
,ACC0014573,BRW0006709,2026-01-22 13:12:35,CALL0082135,AGT0000754,1970-01-01 00:00:00.000000002,VND0000001,,30,LOW,2026-01-22,13,Thursday
,ACC0027482,BRW0011541,2026-05-21 18:35:21,CALL0027023,AGT0000185,1970-01-01 00:00:00.000000006,VND0000006,,0,NPA,2026-05-21,18,Thursday
,ACC0023606,BRW0001281,2026-07-26 06:18:10,CALL0000188,AGT0000051,1970-01-01 00:00:00.000000002,VND0000015,,15,HIGH,2026-07-26,6,Sunday
,ACC0026887,BRW0003019,2026-07-30 11:07:32,CALL0011747,AGT0000541,1970-01-01 00:00:00.000000004,VND0000007,,180,HIGH,2026-07-30,11,Thursday
,ACC0024599,BRW0003921,2026-01-11 10:29:08,CALL0067142,AGT0000873,1970-01-01 00:00:00.000000007,VND0000003,,5,LOW,2026-01-11,10,Sunday
,ACC0009835,BRW0006558,2026-06-09 17:42:57,CALL0050148,AGT0000866,1970-01-01 00:00:00.000000003,VND0000005,,15,HIGH,2026-06-09,17,Tuesday
,ACC0014978,BRW0002645,2026-04-03 10:42:55,CALL0089725,AGT0000934,1970-01-01 00:00:00.000000005,VND0000010,,120,LOW,2026-04-03,10,Friday
,ACC0011661,BRW0005735,2026-05-01 08:55:38,CALL0055091,AGT0000413,1970-01-01 00:00:00.000000004,VND0000001,,30,HIGH,2026-05-01,8,Friday
,ACC0010207,BRW0000150,2026-07-27 01:01:37,CALL0087046,AGT0000934,1970-01-01 00:00:00.000000001,VND0000004,,30,LOW,2026-07-27,1,Monday
,ACC0005951,BRW0002863,2026-07-11 01:11:41,CALL0081567,AGT0000540,1970-01-01 00:00:00.000000005,VND0000006,,45,HIGH,2026-07-11,1,Saturday
,ACC0022933,BRW0008579,2026-07-21 23:27:45,CALL0038715,AGT0000835,1970-01-01 00:00:00.000000001,VND0000008,,0,NPA,2026-07-21,23,Tuesday
,ACC0015316,BRW0004075,2026-04-05 22:28:17,CALL0050802,AGT0000797,1970-01-01 00:00:00.000000005,,,180,LOW,2026-04-05,22,Sunday
,ACC0018914,BRW0000291,2026-01-09 17:47:48,CALL0034287,AGT0000042,1970-01-01 00:00:00.000000001,VND0000013,,5,NPA,2026-01-09,17,Friday
,ACC0008611,BRW0006043,2026-05-24 17:39:08,CALL0070276,AGT0000193,1970-01-01 00:00:00.000000003,VND0000003,,45,NPA,2026-05-24,17,Sunday
,ACC0026196,BRW0007254,2026-01-01 05:56:43,CALL0030255,AGT0000674,1970-01-01 00:00:00.000000004,VND0000010,,5,MEDIUM,2026-01-01,5,Thursday
,ACC0021072,BRW0009556,2026-03-15 17:56:55,CALL0024314,AGT0000555,1970-01-01 00:00:00.000000003,VND0000009,,75,HIGH,2026-03-15,17,Sunday
,ACC0016343,BRW0003851,2026-07-30 14:49:31,CALL0074193,AGT0000162,1970-01-01 00:00:00.000000006,VND0000006,,15,NPA,2026-07-30,14,Thursday
,ACC0010116,BRW0010392,2026-01-10 13:56:35,CALL0082469,AGT0000101,1970-01-01 00:00:00.000000007,VND0000009,,15,MEDIUM,2026-01-10,13,Saturday
,ACC0016419,BRW0010374,2026-02-01 09:39:16,CALL0052760,AGT0000836,1970-01-01 00:00:00.000000002,VND0000002,,60,HIGH,2026-02-01,9,Sunday
,ACC0014239,BRW0008030,2026-06-30 22:51:53,CALL0016221,AGT0000945,1970-01-01 00:00:00.000000007,VND0000004,,75,MEDIUM,2026-06-30,22,Tuesday
,ACC0013463,BRW0008896,2026-05-07 09:56:39,CALL0074452,AGT0000942,1970-01-01 00:00:00.000000002,VND0000012,,120,NPA,2026-05-07,9,Thursday
,ACC0001500,BRW0002214,2026-04-18 01:37:10,CALL0007723,AGT0000851,1970-01-01 00:00:00.000000004,VND0000006,,90,NPA,2026-04-18,1,Saturday
,ACC0008210,BRW0003124,2026-02-07 02:40:13,CALL0062195,AGT0000486,1970-01-01 00:00:00.000000001,VND0000014,,90,HIGH,2026-02-07,2,Saturday
,ACC0004150,BRW0008446,2026-03-02 03:53:28,CALL0065117,AGT0000450,1970-01-01 00:00:00.000000005,VND0000012,,180,HIGH,2026-03-02,3,Monday
,ACC0012990,BRW0007807,2026-07-11 14:09:49,CALL0061909,AGT0000641,1970-01-01 00:00:00.000000005,VND0000003,,120,HIGH,2026-07-11,14,Saturday
,ACC0029553,BRW0009886,2026-07-26 21:15:11,CALL0035686,AGT0000434,1970-01-01 00:00:00.000000003,VND0000005,,15,LOW,2026-07-26,21,Sunday
,ACC0027899,BRW0006233,2026-01-03 20:32:55,CALL0062700,AGT0000570,1970-01-01 00:00:00.000000002,VND0000005,,5,MEDIUM,2026-01-03,20,Saturday
,ACC0023923,BRW0007784,2026-04-20 00:44:01,CALL0059715,AGT0000232,1970-01-01 00:00:00.000000002,VND0000002,,60,HIGH,2026-04-20,0,Monday
,ACC0000596,BRW0011394,2026-08-05 06:45:25,CALL0018041,AGT0000456,1970-01-01 00:00:00.000000003,VND0000004,,15,LOW,2026-08-05,6,Wednesday
,ACC0021398,BRW0006267,2026-02-27 11:06:27,CALL0007733,AGT0000595,1970-01-01 00:00:00.000000007,VND0000014,,120,HIGH,2026-02-27,11,Friday
,ACC0013752,BRW0011699,2026-05-13 07:00:21,CALL0052052,AGT0000038,1970-01-01 00:00:00.000000005,VND0000010,,60,MEDIUM,2026-05-13,7,Wednesday
,ACC0023998,BRW0005738,2026-07-02 09:40:02,CALL0081388,AGT0000259,1970-01-01 00:00:00.000000006,VND0000003,,60,MEDIUM,2026-07-02,9,Thursday
,ACC0025016,BRW0004565,2026-03-21 05:12:14,CALL0042878,AGT0000315,1970-01-01 00:00:00.000000005,VND0000003,,45,LOW,2026-03-21,5,Saturday
,ACC0029460,BRW0004254,2026-06-15 07:21:15,CALL0022849,AGT0000725,1970-01-01 00:00:00.000000004,VND0000011,,30,HIGH,2026-06-15,7,Monday
,ACC0007714,BRW0008399,2026-01-21 12:44:56,CALL0041342,AGT0000282,1970-01-01 00:00:00.000000006,VND0000010,,180,HIGH,2026-01-21,12,Wednesday
,ACC0011905,BRW0011539,2026-03-07 04:55:17,CALL0016954,AGT0000747,1970-01-01 00:00:00.000000007,VND0000009,,180,HIGH,2026-03-07,4,Saturday
,ACC0013075,BRW0001757,2026-01-15 03:36:10,CALL0005295,AGT0000461,1970-01-01 00:00:00.000000002,VND0000015,,90,HIGH,2026-01-15,3,Thursday
,ACC0010455,BRW0007591,2026-05-11 21:11:22,CALL0045300,AGT0000901,1970-01-01 00:00:00.000000003,VND0000014,,90,NPA,2026-05-11,21,Monday
,ACC0002921,BRW0010385,2026-02-02 07:18:19,CALL0013797,AGT0000538,1970-01-01 00:00:00.000000004,VND0000004,,120,HIGH,2026-02-02,7,Monday
,ACC0013632,BRW0010317,2026-07-05 12:08:07,CALL0046629,AGT0000351,1970-01-01 00:00:00.000000001,VND0000002,,90,LOW,2026-07-05,12,Sunday
,ACC0016523,BRW0002922,2026-02-21 11:57:32,CALL0011702,AGT0000757,1970-01-01 00:00:00.000000006,VND0000001,,180,MEDIUM,2026-02-21,11,Saturday
,ACC0027477,BRW0001776,2026-01-16 13:32:18,CALL0088682,AGT0000114,1970-01-01 00:00:00.000000005,VND0000003,,120,HIGH,2026-01-16,13,Friday
,ACC0007646,BRW0009617,2026-04-30 21:41:33,CALL0020631,AGT0000118,1970-01-01 00:00:00.000000001,VND0000005,,120,NPA,2026-04-30,21,Thursday
,ACC0006586,BRW0010105,2026-03-13 15:27:42,CALL0063623,AGT0000036,1970-01-01 00:00:00.000000004,VND0000010,,15,MEDIUM,2026-03-13,15,Friday
,ACC0022323,BRW0007822,2026-04-04 11:09:30,CALL0032992,AGT0000977,1970-01-01 00:00:00.000000004,VND0000006,,45,NPA,2026-04-04,11,Saturday
,ACC0004645,BRW0000434,2026-07-16 18:22:38,CALL0088937,AGT0000640,1970-01-01 00:00:00.000000001,VND0000011,,90,HIGH,2026-07-16,18,Thursday
,ACC0026368,BRW0011333,2026-07-26 07:39:14,CALL0063420,AGT0000709,1970-01-01 00:00:00.000000004,VND0000006,,90,MEDIUM,2026-07-26,7,Sunday
,ACC0029698,BRW0007718,2026-02-11 01:36:02,CALL0075775,AGT0000024,1970-01-01 00:00:00.000000003,VND0000004,,90,NPA,2026-02-11,1,Wednesday
,ACC0011292,BRW0008456,2026-05-14 13:07:19,CALL0064846,AGT0000984,1970-01-01 00:00:00.000000002,VND0000010,,0,NPA,2026-05-14,13,Thursday
,ACC0025058,BRW0011758,2026-01-07 17:11:42,CALL0013991,AGT0000743,1970-01-01 00:00:00.000000005,VND0000015,,5,LOW,2026-01-07,17,Wednesday
,ACC0017265,BRW0003162,2026-05-23 03:32:18,CALL0022968,AGT0000405,1970-01-01 00:00:00.000000003,VND0000015,,30,MEDIUM,2026-05-23,3,Saturday
,ACC0006250,BRW0010637,2026-02-11 16:53:58,CALL0020804,AGT0000251,1970-01-01 00:00:00.000000004,,,120,HIGH,2026-02-11,16,Wednesday
,ACC0018866,BRW0011888,2026-08-03 01:09:27,CALL0043643,AGT0000573,1970-01-01 00:00:00.000000007,VND0000008,,5,NPA,2026-08-03,1,Monday
,ACC0004334,BRW0003081,2026-06-23 16:20:28,CALL0068051,AGT0000779,1970-01-01 00:00:00.000000003,VND0000003,,60,LOW,2026-06-23,16,Tuesday
,ACC0026998,BRW0008934,2026-06-09 06:34:53,CALL0050875,AGT0000181,1970-01-01 00:00:00.000000001,VND0000013,,45,NPA,2026-06-09,6,Tuesday
,ACC0026081,BRW0007039,2026-05-16 06:58:20,CALL0043967,AGT0000952,1970-01-01 00:00:00.000000007,VND0000001,,30,NPA,2026-05-16,6,Saturday
,ACC0003947,BRW0011532,2026-01-07 11:55:37,CALL0047177,AGT0000569,1970-01-01 00:00:00.000000006,VND0000001,,45,HIGH,2026-01-07,11,Wednesday
,ACC0007038,BRW0005817,2026-02-20 08:45:29,CALL0012719,AGT0000335,1970-01-01 00:00:00.000000006,VND0000002,,120,HIGH,2026-02-20,8,Friday
,ACC0023918,BRW0004491,2026-05-31 00:18:06,CALL0062096,AGT0000113,1970-01-01 00:00:00.000000006,VND0000006,,1,HIGH,2026-05-31,0,Sunday
,ACC0013429,BRW0001856,2026-04-12 09:09:01,CALL0020015,AGT0000677,1970-01-01 00:00:00.000000002,VND0000006,,180,LOW,2026-04-12,9,Sunday
,ACC0005303,BRW0007275,2026-06-21 12:23:47,CALL0041213,AGT0000160,1970-01-01 00:00:00.000000004,VND0000013,,30,NPA,2026-06-21,12,Sunday
,ACC0023911,BRW0007008,2026-03-20 03:34:58,CALL0038321,AGT0000206,1970-01-01 00:00:00.000000001,VND0000012,,30,HIGH,2026-03-20,3,Friday
,ACC0009973,BRW0009443,2026-03-23 17:25:16,CALL0053879,AGT0000672,1970-01-01 00:00:00.000000003,VND0000003,,1,LOW,2026-03-23,17,Monday
,ACC0017372,BRW0002726,2026-07-19 09:30:00,CALL0064954,AGT0000675,1970-01-01 00:00:00.000000003,VND0000010,,1,LOW,2026-07-19,9,Sunday
,ACC0013279,BRW0000102,2026-03-09 10:17:56,CALL0056579,AGT0000664,1970-01-01 00:00:00.000000004,VND0000015,,15,HIGH,2026-03-09,10,Monday
,ACC0026911,BRW0006947,2026-05-17 23:26:26,CALL0051167,AGT0000265,1970-01-01 00:00:00.000000002,VND0000015,,90,MEDIUM,2026-05-17,23,Sunday
,ACC0003775,BRW0007655,2026-04-21 15:55:49,CALL0020936,AGT0000028,1970-01-01 00:00:00.000000007,VND0000010,,0,NPA,2026-04-21,15,Tuesday
,ACC0028178,BRW0010542,2026-07-28 04:10:14,CALL0029523,AGT0000249,1970-01-01 00:00:00.000000006,VND0000006,,45,NPA,2026-07-28,4,Tuesday
,ACC0011583,BRW0004241,2026-02-09 11:44:00,CALL0039285,AGT0000145,1970-01-01 00:00:00.000000005,VND0000002,,0,LOW,2026-02-09,11,Monday
,ACC0017783,BRW0008560,2026-04-23 04:17:12,CALL0042727,AGT0000703,1970-01-01 00:00:00.000000006,VND0000009,,15,NPA,2026-04-23,4,Thursday
,ACC0023874,BRW0007246,2026-05-19 19:29:04,CALL0004233,AGT0000953,1970-01-01 00:00:00.000000003,VND0000006,,5,NPA,2026-05-19,19,Tuesday
,ACC0024519,BRW0007055,2026-02-10 16:32:45,CALL0081608,AGT0000945,1970-01-01 00:00:00.000000007,VND0000001,,75,NPA,2026-02-10,16,Tuesday
,ACC0001252,BRW0000349,2026-07-09 22:20:07,CALL0074444,AGT0000006,1970-01-01 00:00:00.000000005,VND0000002,,5,LOW,2026-07-09,22,Thursday
,ACC0016147,BRW0011347,2026-05-07 20:41:28,CALL0041755,AGT0000835,1970-01-01 00:00:00.000000005,VND0000007,,30,MEDIUM,2026-05-07,20,Thursday
,ACC0024919,BRW0004874,2026-06-30 01:00:47,CALL0033870,AGT0000251,1970-01-01 00:00:00.000000006,VND0000013,,45,NPA,2026-06-30,1,Tuesday
,ACC0006803,BRW0011110,2026-05-14 07:43:08,CALL0036897,AGT0000717,1970-01-01 00:00:00.000000006,VND0000006,,75,HIGH,2026-05-14,7,Thursday
,ACC0019049,BRW0000288,2026-02-13 09:50:27,CALL0077085,AGT0000726,1970-01-01 00:00:00.000000004,VND0000013,,5,MEDIUM,2026-02-13,9,Friday
,ACC0006309,BRW0004719,2026-02-12 12:36:15,CALL0062723,AGT0000349,1970-01-01 00:00:00.000000006,VND0000012,,180,LOW,2026-02-12,12,Thursday
,ACC0025917,BRW0011610,2026-08-01 05:39:15,CALL0031916,AGT0000853,1970-01-01 00:00:00.000000002,VND0000006,,120,LOW,2026-08-01,5,Saturday
,ACC0025882,BRW0001501,2026-06-11 13:45:23,CALL0020177,AGT0000584,1970-01-01 00:00:00.000000005,VND0000014,,90,HIGH,2026-06-11,13,Thursday
,ACC0011528,BRW0002285,2026-01-24 09:54:37,CALL0046917,AGT0000257,1970-01-01 00:00:00.000000003,VND0000011,,0,LOW,2026-01-24,9,Saturday
,ACC0023712,BRW0009212,2026-01-24 19:48:14,CALL0063709,AGT0000713,1970-01-01 00:00:00.000000003,VND0000005,,0,HIGH,2026-01-24,19,Saturday
,ACC0011830,BRW0002809,2026-04-02 22:43:27,CALL0052091,AGT0000726,1970-01-01 00:00:00.000000003,VND0000004,,75,MEDIUM,2026-04-02,22,Thursday
,ACC0028254,BRW0005874,2026-04-13 23:07:34,CALL0035536,AGT0000335,1970-01-01 00:00:00.000000006,VND0000010,,75,HIGH,2026-04-13,23,Monday
,ACC0001083,BRW0006517,2026-08-08 16:30:47,CALL0001922,AGT0000501,1970-01-01 00:00:00.000000005,VND0000006,,5,HIGH,2026-08-08,16,Saturday
,ACC0023327,BRW0011436,2026-02-26 04:54:58,CALL0071519,AGT0000306,1970-01-01 00:00:00.000000007,VND0000010,,30,HIGH,2026-02-26,4,Thursday
,ACC0014186,BRW0010318,2026-03-24 09:32:28,CALL0017205,AGT0000812,1970-01-01 00:00:00.000000003,VND0000002,,1,NPA,2026-03-24,9,Tuesday
,ACC0028359,BRW0002542,2026-04-28 21:14:08,CALL0083530,AGT0000635,1970-01-01 00:00:00.000000004,VND0000014,,180,MEDIUM,2026-04-28,21,Tuesday
,ACC0013832,BRW0010005,2026-03-12 08:35:27,CALL0002949,AGT0000816,1970-01-01 00:00:00.000000005,VND0000011,,5,HIGH,2026-03-12,8,Thursday
,ACC0019207,BRW0000740,2026-06-10 05:16:51,CALL0076542,AGT0000989,1970-01-01 00:00:00.000000001,VND0000006,,60,NPA,2026-06-10,5,Wednesday
,ACC0018081,BRW0002946,2026-01-05 20:26:42,CALL0041440,AGT0000723,1970-01-01 00:00:00.000000002,,,30,HIGH,2026-01-05,20,Monday
,ACC0017628,BRW0006244,2026-01-17 16:11:18,CALL0089537,AGT0000950,1970-01-01 00:00:00.000000007,VND0000003,,120,NPA,2026-01-17,16,Saturday
,ACC0024221,BRW0010194,2026-05-29 22:42:56,CALL0053460,AGT0000192,1970-01-01 00:00:00.000000006,VND0000013,,30,HIGH,2026-05-29,22,Friday
,ACC0025989,BRW0000927,2026-05-23 06:10:46,CALL0068312,AGT0000718,1970-01-01 00:00:00.000000007,VND0000008,,90,NPA,2026-05-23,6,Saturday
,ACC0000938,BRW0006470,2026-07-21 12:34:10,CALL0005612,AGT0000036,1970-01-01 00:00:00.000000002,VND0000004,,45,MEDIUM,2026-07-21,12,Tuesday
,ACC0019102,BRW0000725,2026-07-24 21:27:42,CALL0088612,AGT0000720,1970-01-01 00:00:00.000000007,VND0000002,,120,HIGH,2026-07-24,21,Friday
,ACC0021948,BRW0008765,2026-01-31 20:17:25,CALL0088478,AGT0000331,1970-01-01 00:00:00.000000006,VND0000011,,5,HIGH,2026-01-31,20,Saturday
,ACC0000729,BRW0008416,2026-06-11 06:09:44,CALL0002889,AGT0000180,1970-01-01 00:00:00.000000002,VND0000005,,30,LOW,2026-06-11,6,Thursday
,ACC0012353,BRW0000289,2026-06-26 05:55:53,CALL0026590,AGT0000801,1970-01-01 00:00:00.000000002,VND0000012,,120,HIGH,2026-06-26,5,Friday
,ACC0028687,BRW0009353,2026-08-02 22:55:13,CALL0025991,AGT0000741,1970-01-01 00:00:00.000000005,VND0000009,,45,LOW,2026-08-02,22,Sunday
,ACC0028165,BRW0000760,2026-03-01 08:28:03,CALL0006047,AGT0000040,1970-01-01 00:00:00.000000005,VND0000002,,90,NPA,2026-03-01,8,Sunday
,ACC0001652,BRW0009996,2026-01-12 15:43:54,CALL0049046,AGT0000866,1970-01-01 00:00:00.000000007,VND0000014,,60,MEDIUM,2026-01-12,15,Monday
,ACC0021155,BRW0010663,2026-05-07 02:55:41,CALL0010934,AGT0000183,1970-01-01 00:00:00.000000004,VND0000010,,90,NPA,2026-05-07,2,Thursday
,ACC0012437,BRW0007141,2026-03-16 18:57:28,CALL0000456,AGT0000042,1970-01-01 00:00:00.000000003,VND0000014,,75,MEDIUM,2026-03-16,18,Monday
,ACC0015974,BRW0008688,2026-05-28 08:40:47,CALL0045013,AGT0000261,1970-01-01 00:00:00.000000007,VND0000013,,1,NPA,2026-05-28,8,Thursday
,ACC0003274,BRW0004386,2026-06-20 13:19:17,CALL0063985,AGT0000678,1970-01-01 00:00:00.000000004,VND0000002,,180,MEDIUM,2026-06-20,13,Saturday
,ACC0017387,BRW0002474,2026-02-06 06:55:27,CALL0076306,AGT0000116,1970-01-01 00:00:00.000000007,,,90,LOW,2026-02-06,6,Friday
,ACC0006412,BRW0007264,2026-06-04 13:45:00,CALL0075001,AGT0000904,1970-01-01 00:00:00.000000003,VND0000013,,120,NPA,2026-06-04,13,Thursday
,ACC0027600,BRW0004770,2026-07-19 09:23:48,CALL0052518,AGT0000162,1970-01-01 00:00:00.000000004,VND0000007,,90,NPA,2026-07-19,9,Sunday
,ACC0004107,BRW0004016,2026-01-07 12:49:47,CALL0084629,AGT0000877,1970-01-01 00:00:00.000000001,VND0000010,,30,MEDIUM,2026-01-07,12,Wednesday
,ACC0002716,BRW0008298,2026-05-12 23:52:34,CALL0050488,AGT0000287,1970-01-01 00:00:00.000000003,VND0000014,,0,NPA,2026-05-12,23,Tuesday
,ACC0009912,BRW0003628,2026-02-26 06:30:33,CALL0077223,AGT0000145,1970-01-01 00:00:00.000000007,VND0000013,,60,LOW,2026-02-26,6,Thursday
,ACC0027607,BRW0011030,2026-04-09 07:50:46,CALL0026420,AGT0000340,1970-01-01 00:00:00.000000005,VND0000002,,0,MEDIUM,2026-04-09,7,Thursday
,ACC0020636,BRW0001485,2026-04-21 16:04:35,CALL0012501,AGT0000327,1970-01-01 00:00:00.000000007,VND0000006,,75,HIGH,2026-04-21,16,Tuesday
,ACC0029143,BRW0009717,2026-04-26 19:02:36,CALL0005805,AGT0000184,1970-01-01 00:00:00.000000004,VND0000001,,45,LOW,2026-04-26,19,Sunday
,ACC0023654,BRW0000839,2026-03-11 20:13:21,CALL0073401,AGT0000752,1970-01-01 00:00:00.000000004,VND0000008,,60,LOW,2026-03-11,20,Wednesday
